City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,84.2,light rain,-0.7393,-90.3518,Castillo Galapagos
1,Georgetown,MY,77.0,few clouds,5.4112,100.3354,Cititel Penang
6,Tautira,PF,86.0,moderate rain,-17.7333,-149.15,Pension Oaoa
10,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
12,Carnarvon,AU,78.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
14,Les Cayes,HT,81.3,clear sky,18.2,-73.75,Villa Orphee
16,Avarua,CK,84.2,light rain,-21.2078,-159.775,Paradise Inn
18,Harper,LR,78.31,light rain,4.375,-7.7169,Screensaver
19,Acapulco,MX,86.0,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
23,Thinadhoo,MV,81.36,overcast clouds,0.5333,72.9333,
24,Faanui,PF,80.96,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
30,Tabou,CI,78.03,broken clouds,4.423,-7.3528,hotêl doufoulougou
34,Butaritari,KI,80.78,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
37,Maragogi,BR,79.88,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
48,Lago Da Pedra,BR,81.34,overcast clouds,-4.3333,-45.1667,
51,Arinos,BR,88.41,scattered clouds,-15.9169,-46.1056,casa do bruno
52,Matara,LK,75.52,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
53,Arraial Do Cabo,BR,89.6,clear sky,-22.9661,-42.0278,Pousada Porto Praia
57,Atuona,PF,78.64,clear sky,-9.8,-139.0333,Villa Enata
58,Mar Del Plata,AR,82.4,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
63,San Patricio,US,75.2,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
76,Bambous Virieux,MU,81.0,light rain,-20.3428,57.7575,Casa Tia Villa
80,Port Moresby,PG,75.2,heavy intensity rain,-9.4431,147.1797,Lamana Hotel
85,Puerto Baquerizo Moreno,EC,82.4,light rain,-0.9,-89.6,Hotel los Algarrobos
87,Rikitea,PF,79.68,overcast clouds,-23.1203,-134.9692,Pension Maro'i
89,Waingapu,ID,78.03,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
102,Sambava,MG,77.67,light rain,-14.2667,50.1667,Melrose
105,Simoes,BR,83.35,heavy intensity rain,-7.5989,-40.8178,Hotel Ponto Certo
108,Mahebourg,MU,80.6,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
109,Bathsheba,BB,82.4,few clouds,13.2167,-59.5167,Atlantis Hotel
110,Ahuimanu,US,75.2,few clouds,21.4447,-157.8378,Paradise Bay Resort
113,San Rafael,AR,84.42,light rain,-34.6177,-68.3301,Hotel San Rafael
115,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
118,Vaini,TO,77.0,light rain,-21.2,-175.2,Keleti Beach Resort
120,Bafoulabe,ML,83.71,overcast clouds,13.8065,-10.8321,
123,Ilhabela,BR,83.89,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
125,Cabo San Lucas,MX,81.0,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
127,Sulangan,PH,79.27,overcast clouds,11.1373,123.7228,Maia's Beach Resort
130,Pangai,TO,80.6,light rain,-19.8,-174.35,Ha'apai Beach Resort
133,Nhulunbuy,AU,80.6,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
134,Limon,CR,82.4,broken clouds,10.0,-83.0333,Hotel Playa Bonita
135,Sao Joao Da Barra,BR,84.2,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
142,Sao Filipe,CV,75.13,broken clouds,14.8961,-24.4956,Tortuga B&B
145,Chuy,UY,78.46,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
148,Geraldton,AU,82.4,clear sky,-28.7667,114.6,Broadwater Mariner Resort
150,Praia,CV,75.2,clear sky,14.9215,-23.5087,LT Aparthotel
152,Esmeraldas,BR,86.0,few clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
167,Huarmey,PE,76.33,broken clouds,-10.0681,-78.1522,Hotel Miramar
171,Carauari,BR,87.66,light rain,-4.8828,-66.8958,Hotel Fellip
175,Santa Marta,CO,88.0,few clouds,11.2408,-74.199,Hotel La Ballena Azul
178,Mahibadhoo,MV,80.69,clear sky,3.7833,72.9667,Omadhoo Inn
179,Aripuana,BR,82.44,light rain,-9.1667,-60.6333,
184,Poncitlan,MX,75.2,clear sky,20.3667,-102.9167,Hotel Plaza Poncitlan
190,Hithadhoo,MV,81.19,broken clouds,-0.6,73.0833,Scoop Guest House
191,Abonnema,NG,84.2,few clouds,4.7084,6.7931,Corper's Lodge Obonoma
204,Micheweni,TZ,80.78,clear sky,-4.9667,39.8333,
206,Parangan,PH,80.42,light rain,5.0839,119.9383,
207,Takoradi,GH,79.93,light rain,4.8845,-1.7554,Raybow International Hotel
216,Labuhan,ID,77.58,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
223,San Vicente,AR,76.37,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
224,Cristalina,BR,76.71,overcast clouds,-16.7686,-47.6136,HOTEL TOPAZIO
225,Port Hedland,AU,80.6,few clouds,-20.3167,118.5667,The Esplanade Hotel
228,Lorengau,PG,82.24,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
238,Pitimbu,BR,82.4,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
239,Tarakan,ID,78.66,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
240,Manokwari,ID,77.16,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
241,Wewak,PG,78.67,moderate rain,-3.5534,143.6268,In Wewak Boutique Hotel
243,Angoche,MZ,81.36,overcast clouds,-16.2325,39.9086,Guest House HESADA
245,Port-Gentil,GA,78.8,scattered clouds,-0.7193,8.7815,Fengshui Residence
246,Aragarcas,BR,77.0,scattered clouds,-15.8975,-52.2508,Hotel Pousada Tropical
251,Bubaque,GW,78.69,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
252,Ugoofaaru,MV,80.69,clear sky,5.6667,73.0,Ungoofaaru Inn
256,Luanda,AO,80.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
